name,type,value,date
"加拿大","CA","9","2020-02-22"
"中国","CN","76846","2020-02-22"
"德国","DE","16","2020-02-22"
"西班牙","ES","2","2020-02-22"
"芬兰","FI","1","2020-02-22"
"法国","FR","12","2020-02-22"
"英国","GB","9","2020-02-22"
"印度","IN","3","2020-02-22"
"伊朗","IR","28","2020-02-22"
"意大利","IT","33","2020-02-22"
"日本","JP","763","2020-02-22"
"柬埔寨","KH","1","2020-02-22"
"韩国","KR","433","2020-02-22"
"黎巴嫩","LB","1","2020-02-22"
"斯里兰卡","LK","1","2020-02-22"
"马来西亚","MY","22","2020-02-22"
"尼泊尔","NP","1","2020-02-22"
"菲律宾","PH","3","2020-02-22"
"俄罗斯","RU","2","2020-02-22"
"瑞典","SE","1","2020-02-22"
"新加坡","SG","89","2020-02-22"
"泰国","TH","35","2020-02-22"
"美国","US","34","2020-02-22"
"越南","VN","16","2020-02-22"
"阿联酋","AE","13","2020-02-23"
"澳大利亚","AU","17","2020-02-23"
"比利时","BE","1","2020-02-23"
"加拿大","CA","9","2020-02-23"
"中国","CN","77262","2020-02-23"
"德国","DE","16","2020-02-23"
"西班牙","ES","2","2020-02-23"
"芬兰","FI","1","2020-02-23"
"法国","FR","12","2020-02-23"
"英国","GB","9","2020-02-23"
"以色列","IL","1","2020-02-23"
"印度","IN","3","2020-02-23"
"伊拉克","IQ","1","2020-02-23"
"伊朗","IR","28","2020-02-23"
"意大利","IT","132","2020-02-23"
"日本","JP","838","2020-02-23"
"柬埔寨","KH","1","2020-02-23"
"韩国","KR","602","2020-02-23"
"黎巴嫩","LB","1","2020-02-23"
"斯里兰卡","LK","1","2020-02-23"
"马来西亚","MY","22","2020-02-23"
"尼泊尔","NP","1","2020-02-23"
"菲律宾","PH","3","2020-02-23"
"俄罗斯","RU","2","2020-02-23"
"瑞典","SE","1","2020-02-23"
"新加坡","SG","89","2020-02-23"
"泰国","TH","35","2020-02-23"
"美国","US","34","2020-02-23"
"越南","VN","16","2020-02-23"
"阿联酋","AE","13","2020-02-24"
"阿富汗","AF","1","2020-02-24"
"澳大利亚","AU","17","2020-02-24"
"比利时","BE","1","2020-02-24"
"巴林","BH","1","2020-02-24"
"加拿大","CA","9","2020-02-24"
"中国","CN","77779","2020-02-24"
"德国","DE","16","2020-02-24"
"西班牙","ES","2","2020-02-24"
"芬兰","FI","1","2020-02-24"
"法国","FR","12","2020-02-24"
"英国","GB","13","2020-02-24"
"以色列","IL","6","2020-02-24"
"印度","IN","3","2020-02-24"
"伊拉克","IQ","1","2020-02-24"
"伊朗","IR","61","2020-02-24"
"意大利","IT","230","2020-02-24"
"日本","JP","850","2020-02-24"
"柬埔寨","KH","1","2020-02-24"
"韩国","KR","833","2020-02-24"
"科威特","KW","3","2020-02-24"
"黎巴嫩","LB","1","2020-02-24"
"斯里兰卡","LK","1","2020-02-24"
"马来西亚","MY","22","2020-02-24"
"尼泊尔","NP","1","2020-02-24"
"菲律宾","PH","3","2020-02-24"
"俄罗斯","RU","2","2020-02-24"
"瑞典","SE","1","2020-02-24"
"新加坡","SG","90","2020-02-24"
"泰国","TH","35","2020-02-24"
"美国","US","34","2020-02-24"
"越南","VN","16","2020-02-24"
"阿联酋","AE","13","2020-02-25"
"阿富汗","AF","1","2020-02-25"
"奥地利","AT","2","2020-02-25"
"澳大利亚","AU","23","2020-02-25"
"比利时","BE","1","2020-02-25"
"巴林","BH","17","2020-02-25"
"加拿大","CA","11","2020-02-25"
"瑞士","CH","1","2020-02-25"
"中国","CN","78190","2020-02-25"
"德国","DE","16","2020-02-25"
"西班牙","ES","3","2020-02-25"
"芬兰","FI","1","2020-02-25"
"法国","FR","12","2020-02-25"
"英国","GB","13","2020-02-25"
"克罗地亚","HR","1","2020-02-25"
"以色列","IL","6","2020-02-25"
"印度","IN","3","2020-02-25"
"伊拉克","IQ","5","2020-02-25"
"伊朗","IR","95","2020-02-25"
"意大利","IT","283","2020-02-25"
"日本","JP","862","2020-02-25"
"柬埔寨","KH","1","2020-02-25"
"韩国","KR","977","2020-02-25"
"科威特","KW","8","2020-02-25"
"黎巴嫩","LB","1","2020-02-25"
"斯里兰卡","LK","1","2020-02-25"
"马来西亚","MY","22","2020-02-25"
